SITE_GAW_ID,START_YEAR,START_MONTH,START_DAY,START_HOUR,START_MIN,START_SEC,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_Value,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2016,01,02,15,0,0,-999,-9,-9,-9,-9,-9,403.27,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,16,0,0,-999,-9,-9,-9,-9,-9,403.26,0.040,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,17,0,0,-999,-9,-9,-9,-9,-9,403.20,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,18,0,0,-999,-9,-9,-9,-9,-9,403.20,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,19,0,0,-999,-9,-9,-9,-9,-9,403.16,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,20,0,0,-999,-9,-9,-9,-9,-9,403.17,0.037,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,21,0,0,-999,-9,-9,-9,-9,-9,403.16,0.034,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,22,0,0,-999,-9,-9,-9,-9,-9,403.10,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,02,23,0,0,-999,-9,-9,-9,-9,-9,403.00,0.055,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,00,0,0,-999,-9,-9,-9,-9,-9,402.92,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,01,0,0,-999,-9,-9,-9,-9,-9,402.91,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,02,0,0,-999,-9,-9,-9,-9,-9,402.93,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,03,0,0,-999,-9,-9,-9,-9,-9,403.00,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,04,0,0,-999,-9,-9,-9,-9,-9,403.07,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,05,0,0,-999,-9,-9,-9,-9,-9,403.12,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,06,0,0,-999,-9,-9,-9,-9,-9,403.18,0.030,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,07,0,0,-999,-9,-9,-9,-9,-9,403.25,0.030,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,08,0,0,-999,-9,-9,-9,-9,-9,403.31,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,09,0,0,-999,-9,-9,-9,-9,-9,403.35,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,10,0,0,-999,-9,-9,-9,-9,-9,403.31,0.062,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,11,0,0,-999,-9,-9,-9,-9,-9,403.19,0.086,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,12,0,0,-999,-9,-9,-9,-9,-9,403.15,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,13,0,0,-999,-9,-9,-9,-9,-9,403.14,0.063,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,14,0,0,-999,-9,-9,-9,-9,-9,403.09,0.059,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,15,0,0,-999,-9,-9,-9,-9,-9,403.05,0.059,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,16,0,0,-999,-9,-9,-9,-9,-9,403.00,0.070,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,17,0,0,-999,-9,-9,-9,-9,-9,402.93,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,18,0,0,-999,-9,-9,-9,-9,-9,402.87,0.042,60,16.864025,-24.867519,10,17,-999.999,0
