,Daily mean ozone
2007-01-31,25.879967741935484
2007-02-28,32.51932142857144
2007-03-31,41.4817741935484
2007-04-30,46.145300000000006
2007-05-31,37.47040000000001
2007-06-30,35.45162068965517
2007-07-31,32.48966666666667
2007-08-31,36.39187096774193
2007-09-30,33.93006666666667
2007-10-31,30.760935483870966
2007-11-30,29.6674
2007-12-31,26.17712903225807
2008-01-31,25.89909677419356
2008-02-29,32.35696551724138
2008-03-31,42.69775
2008-04-30,
2008-05-31,
2008-06-30,
2008-07-31,36.23877777777778
2008-08-31,32.23038709677419
2008-09-30,29.55383333333333
2008-10-31,31.87964516129032
2008-11-30,28.363366666666664
2008-12-31,25.637032258064515
2009-01-31,30.170653846153847
2009-02-28,36.55130769230769
2009-03-31,39.00058064516129
2009-04-30,44.08513333333334
2009-05-31,31.828548387096767
2009-06-30,27.833461538461542
2009-07-31,34.99116666666667
2009-08-31,22.304523809523808
2009-09-30,29.241833333333336
2009-10-31,26.147677419354842
2009-11-30,27.25893333333333
2009-12-31,27.38032258064516
2010-01-31,29.346666666666668
2010-02-28,35.135535714285716
2010-03-31,41.50270967741936
2010-04-30,43.253499999999995
2010-05-31,34.38303225806452
2010-06-30,37.72796666666667
2010-07-31,30.997387096774187
2010-08-31,31.019000000000002
2010-09-30,36.36782608695652
2010-10-31,34.70428571428572
2010-11-30,29.05196296296296
2010-12-31,28.004740740740743
2011-01-31,27.898227272727276
2011-02-28,38.793400000000005
2011-03-31,41.501967741935474
2011-04-30,39.4355
2011-05-31,37.08858620689655
2011-06-30,40.47876666666668
2011-07-31,34.56888000000001
2011-08-31,35.00306666666667
2011-09-30,28.257799999999996
2011-10-31,32.714935483870974
2011-11-30,30.2801724137931
2011-12-31,28.171680000000002
2012-01-31,29.775129032258057
2012-02-29,31.056857142857147
2012-03-31,35.12451612903225
2012-04-30,44.17115
2012-05-31,32.79256521739131
2012-06-30,33.68266666666667
2012-07-31,33.65526086956522
2012-08-31,25.977999999999994
2012-09-30,28.64653333333334
2012-10-31,27.116533333333333
2012-11-30,26.790733333333332
2012-12-31,28.09458064516129
2013-01-31,28.249451612903226
2013-02-28,34.14214285714286
2013-03-31,40.08770833333333
2013-04-30,39.494571428571426
2013-05-31,36.61396774193548
2013-06-30,29.344800000000003
2013-07-31,23.6362
2013-08-31,25.90816129032258
2013-09-30,32.38132
2013-10-31,26.859838709677412
2013-11-30,28.416099999999997
2013-12-31,25.992935483870973
2014-01-31,31.18283333333334
2014-02-28,34.45317857142857
2014-03-31,40.71048387096773
2014-04-30,44.8089
2014-05-31,42.381741935483866
2014-06-30,37.187599999999996
2014-07-31,32.87227272727273
2014-08-31,30.63041935483871
2014-09-30,27.40900000000001
2014-10-31,31.37361290322581
2014-11-30,27.494115384615384
2014-12-31,23.45222580645161
2015-01-31,29.2258064516129
2015-02-28,36.757214285714284
2015-03-31,39.291935483870965
2015-04-30,39.99466666666665
2015-05-31,35.37167741935484
2015-06-30,32.21734615384616
2015-07-31,35.259076923076925
2015-08-31,29.073800000000006
2015-09-30,30.673269230769236
2015-10-31,29.358258064516132
2015-11-30,27.507533333333335
2015-12-31,26.265423076923074
2016-01-31,32.415000000000006
2016-02-29,36.76117241379311
2016-03-31,39.493741935483875
2016-04-30,43.78676666666668
2016-05-31,37.7272258064516
2016-06-30,37.13953333333334
2016-07-31,30.259133333333338
2016-08-31,21.676655172413795
2016-09-30,27.0391
2016-10-31,28.92292307692308
2016-11-30,28.245733333333327
2016-12-31,26.220206896551712
2017-01-31,29.264096774193543
2017-02-28,38.77832
2017-03-31,40.84006451612904
2017-04-30,38.400600000000004
2017-05-31,36.309599999999996
2017-06-30,27.067100000000003
2017-07-31,28.01196551724138
2017-08-31,26.514096774193543
2017-09-30,29.06723333333333
2017-10-31,27.911548387096776
2017-11-30,25.407466666666664
2017-12-31,28.246161290322583
2018-01-31,30.865161290322586
2018-02-28,31.71925000000001
2018-03-31,40.72883870967741
2018-04-30,42.99949999999999
2018-05-31,32.26119354838709
2018-06-30,35.4045
2018-07-31,31.63841935483871
2018-08-31,24.617000000000004
2018-09-30,
2018-10-31,
2018-11-30,
2018-12-31,
2019-01-31,0.0
2019-02-28,
2019-03-31,45.752071428571426
2019-04-30,45.222730769230765
2019-05-31,39.13764516129032
2019-06-30,36.40110000000001
2019-07-31,29.95142307692307
2019-08-31,26.790741935483865
2019-09-30,28.122571428571433
2019-10-31,30.574677419354845
2019-11-30,28.2558
2019-12-31,28.700548387096767
2020-01-31,30.886258064516127
2020-02-29,34.24786206896552
2020-03-31,36.24651612903226
2020-04-30,40.28696666666668
2020-05-31,34.52454838709677
2020-06-30,32.47113333333333
