,Daily mean ozone
2007-01-31,24.272032258064517
2007-02-28,30.580428571428566
2007-03-31,39.85045161290323
2007-04-30,43.02436666666668
2007-05-31,42.97893548387097
2007-06-30,40.87500000000001
2007-07-31,37.19464516129031
2007-08-31,46.42238709677418
2007-09-30,39.502766666666666
2007-10-31,30.77109677419355
2007-11-30,30.14673333333333
2007-12-31,26.162677419354843
2008-01-31,27.65958064516129
2008-02-29,31.35765517241379
2008-03-31,43.94358064516129
2008-04-30,39.41526666666667
2008-05-31,41.91929032258066
2008-06-30,44.17191666666667
2008-07-31,38.87783870967743
2008-08-31,33.098677419354836
2008-09-30,26.34303333333333
2008-10-31,29.128387096774194
2008-11-30,28.715199999999996
2008-12-31,25.263125000000002
2009-01-31,27.451846153846155
2009-02-28,38.36989285714286
2009-03-31,37.37654838709678
2009-04-30,44.579100000000004
2009-05-31,30.04177419354839
2009-06-30,35.447266666666664
2009-07-31,30.735862068965517
2009-08-31,22.804612903225802
2009-09-30,25.957379310344827
2009-10-31,23.821709677419356
2009-11-30,26.99180000000001
2009-12-31,22.66303225806452
2010-01-31,29.8236129032258
2010-02-28,34.11042857142857
2010-03-31,38.635096774193535
2010-04-30,44.84433333333334
2010-05-31,33.07892
2010-06-30,33.13563157894737
2010-07-31,33.986666666666665
2010-08-31,30.645807692307695
2010-09-30,40.82626666666667
2010-10-31,34.49748387096774
2010-11-30,30.627
2010-12-31,30.108777777777775
2011-01-31,28.882793103448268
2011-02-28,34.357190476190475
2011-03-31,40.32951612903227
2011-04-30,40.309266666666666
2011-05-31,38.14232
2011-06-30,42.540866666666666
2011-07-31,35.700935483870964
2011-08-31,37.16287096774194
2011-09-30,30.275599999999997
2011-10-31,30.346354838709676
2011-11-30,30.122285714285713
2011-12-31,26.81393548387096
2012-01-31,27.00406451612903
2012-02-29,33.15569565217391
2012-03-31,36.99038709677419
2012-04-30,38.76203333333333
2012-05-31,34.19112903225806
2012-06-30,38.63946666666667
2012-07-31,33.08738709677419
2012-08-31,25.492096774193545
2012-09-30,25.946699999999996
2012-10-31,27.105967741935487
2012-11-30,30.472233333333335
2012-12-31,25.64103225806452
2013-01-31,26.05477419354839
2013-02-28,34.099
2013-03-31,40.44306451612902
2013-04-30,41.08990000000001
2013-05-31,35.336064516129035
2013-06-30,27.3796
2013-07-31,19.124290322580645
2013-08-31,21.425333333333334
2013-09-30,28.718037037037032
2013-10-31,23.795193548387104
2013-11-30,26.837633333333333
2013-12-31,25.821096774193546
2014-01-31,29.806419354838702
2014-02-28,33.13214285714286
2014-03-31,40.44312903225806
2014-04-30,44.00763333333335
2014-05-31,38.962064516129026
2014-06-30,35.54566666666667
2014-07-31,32.3051935483871
2014-08-31,27.7308064516129
2014-09-30,22.11866666666667
2014-10-31,27.600838709677415
2014-11-30,27.976
2014-12-31,21.426806451612904
2015-01-31,27.39406451612903
2015-02-28,34.069928571428576
2015-03-31,36.18209677419354
2015-04-30,36.11666666666666
2015-05-31,36.1276129032258
2015-06-30,30.609700000000007
2015-07-31,30.38490322580645
2015-08-31,34.39764516129033
2015-09-30,27.753566666666668
2015-10-31,26.114290322580647
2015-11-30,26.523433333333333
2015-12-31,22.44403225806452
2016-01-31,27.98193548387097
2016-02-29,32.78524137931035
2016-03-31,37.65635483870967
2016-04-30,43.01312
2016-05-31,33.35292307692308
2016-06-30,35.47659999999999
2016-07-31,29.16935483870968
2016-08-31,25.734000000000005
2016-09-30,29.30826666666667
2016-10-31,28.014193548387098
2016-11-30,29.837137931034484
2016-12-31,24.04338709677419
2017-01-31,26.480419354838702
2017-02-28,38.80182142857144
2017-03-31,40.978580645161294
2017-04-30,34.95306666666667
2017-05-31,33.607
2017-06-30,29.96306896551724
2017-07-31,27.7196
2017-08-31,27.76732258064516
2017-09-30,27.77136363636364
2017-10-31,27.1774
2017-11-30,27.872266666666665
2017-12-31,27.247838709677414
2018-01-31,31.67583870967742
2018-02-28,28.54559090909091
2018-03-31,38.85670967741935
2018-04-30,42.180533333333344
2018-05-31,30.025586206896556
2018-06-30,32.05682758620689
2018-07-31,31.89464285714286
2018-08-31,24.07809677419355
2018-09-30,20.7151
2018-10-31,23.417290322580644
2018-11-30,22.189933333333336
2018-12-31,23.649032258064516
2019-01-31,28.30964516129032
2019-02-28,30.886500000000005
2019-03-31,39.18377419354838
2019-04-30,36.497566666666664
2019-05-31,32.95093548387098
2019-06-30,33.18893333333333
2019-07-31,30.360741935483876
2019-08-31,26.497928571428577
2019-09-30,32.26546666666666
2019-10-31,28.672032258064508
2019-11-30,25.535366666666665
2019-12-31,26.34045161290322
2020-01-31,27.33632258064517
2020-02-29,29.86082758620689
2020-03-31,31.271322580645155
2020-04-30,37.185500000000005
2020-05-31,28.989354838709676
2020-06-30,25.846200000000007
