,Daily mean ozone
2007-01-31,15.776870967741933
2007-02-28,19.70035714285714
2007-03-31,30.731499999999993
2007-04-30,32.897000000000006
2007-05-31,38.76246666666666
2007-06-30,35.28372413793104
2007-07-31,38.3095806451613
2007-08-31,36.41545161290322
2007-09-30,30.624172413793108
2007-10-31,21.863258064516128
2007-11-30,16.336733333333335
2007-12-31,13.02829032258064
2008-01-31,15.275354838709674
2008-02-29,18.61491666666667
2008-03-31,31.747645161290322
2008-04-30,34.024300000000004
2008-05-31,34.39241935483871
2008-06-30,35.831300000000006
2008-07-31,34.830827586206894
2008-08-31,29.21473333333334
2008-09-30,23.253499999999995
2008-10-31,15.703451612903223
2008-11-30,15.864
2008-12-31,14.758838709677418
2009-01-31,17.739741935483874
2009-02-28,27.624500000000005
2009-03-31,28.76341935483871
2009-04-30,37.04183333333334
2009-05-31,27.48148387096774
2009-06-30,29.364933333333333
2009-07-31,29.783193548387104
2009-08-31,26.487193548387104
2009-09-30,19.004366666666666
2009-10-31,16.64774193548387
2009-11-30,15.781866666666662
2009-12-31,17.288322580645158
2010-01-31,19.583387096774203
2010-02-28,27.217826086956517
2010-03-31,35.32341935483872
2010-04-30,37.34406249999999
2010-05-31,31.0195
2010-06-30,36.21453333333333
2010-07-31,37.577439999999996
2010-08-31,34.4314193548387
2010-09-30,30.32959999999999
2010-10-31,20.48222580645161
2010-11-30,19.855766666666664
2010-12-31,20.713741935483874
2011-01-31,19.586153846153845
2011-02-28,27.27733333333333
2011-03-31,32.9258947368421
2011-04-30,35.21128571428572
2011-05-31,33.76283870967742
2011-06-30,37.84851724137931
2011-07-31,39.7224074074074
2011-08-31,32.27979166666667
2011-09-30,20.126533333333327
2011-10-31,18.73351612903226
2011-11-30,20.686233333333334
2011-12-31,16.449290322580648
2012-01-31,19.868533333333335
2012-02-29,23.802517241379302
2012-03-31,32.188709677419354
2012-04-30,37.89500000000001
2012-05-31,32.70455172413793
2012-06-30,36.26017857142857
2012-07-31,38.35387096774194
2012-08-31,32.94309677419355
2012-09-30,27.811137931034484
2012-10-31,19.09741379310345
2012-11-30,19.3863
2012-12-31,16.948322580645158
2013-01-31,20.146766666666668
2013-02-28,26.539148148148147
2013-03-31,37.32662068965517
2013-04-30,42.47534482758622
2013-05-31,35.93577419354838
2013-06-30,32.12810714285714
2013-07-31,26.794620689655172
2013-08-31,26.751178571428568
2013-09-30,27.326517241379307
2013-10-31,21.25922580645161
2013-11-30,21.55620689655172
2013-12-31,18.614806451612903
2014-01-31,21.4436129032258
2014-02-28,28.762249999999995
2014-03-31,32.560096774193546
2014-04-30,39.48030000000001
2014-05-31,35.12506451612904
2014-06-30,34.279566666666675
2014-07-31,33.251
2014-08-31,28.85618181818182
2014-09-30,23.23596
2014-10-31,23.034612903225803
2014-11-30,22.9968
2014-12-31,15.65406451612903
2015-01-31,22.313599999999994
2015-02-28,26.6025
2015-03-31,31.355451612903227
2015-04-30,37.243500000000004
2015-05-31,36.38999999999999
2015-06-30,32.075399999999995
2015-07-31,32.07509677419355
2015-08-31,32.99770967741935
2015-09-30,28.730566666666668
2015-10-31,18.636129032258065
2015-11-30,18.23839285714286
2015-12-31,14.733741935483872
2016-01-31,22.04841935483871
2016-02-29,27.347392857142857
2016-03-31,33.35703225806452
2016-04-30,38.37043333333334
2016-05-31,29.453451612903233
2016-06-30,34.89556666666667
2016-07-31,33.259
2016-08-31,26.811241379310335
2016-09-30,25.167296296296293
2016-10-31,20.938516129032255
2016-11-30,19.08803448275862
2016-12-31,20.447870967741935
2017-01-31,21.968516129032256
2017-02-28,30.669785714285712
2017-03-31,37.16945161290322
2017-04-30,35.97876666666665
2017-05-31,34.3414074074074
2017-06-30,33.78783333333333
2017-07-31,29.806785714285706
2017-08-31,23.2653
2017-09-30,21.591900000000003
2017-10-31,23.382258064516133
2017-11-30,21.47666666666667
2017-12-31,20.634774193548385
2018-01-31,24.57283870967742
2018-02-28,23.69946428571429
2018-03-31,35.148857142857146
2018-04-30,41.96816666666667
2018-05-31,35.145193548387105
2018-06-30,33.3458
2018-07-31,33.89827586206897
2018-08-31,26.914300000000004
2018-09-30,22.291133333333335
2018-10-31,20.10948387096774
2018-11-30,19.5446
2018-12-31,17.046612903225803
2019-01-31,24.022387096774192
2019-02-28,28.23596428571428
2019-03-31,37.63316129032258
2019-04-30,37.76336666666667
2019-05-31,33.120935483870966
2019-06-30,35.24410000000001
2019-07-31,32.368096774193546
2019-08-31,28.337733333333336
2019-09-30,32.35475
2019-10-31,25.55493333333333
2019-11-30,21.958551724137934
2019-12-31,18.143193548387096
2020-01-31,23.17967741935484
2020-02-29,26.958653846153847
2020-03-31,32.79251612903226
2020-04-30,36.27819999999999
2020-05-31,33.037193548387094
2020-06-30,33.51225
