,Daily mean ozone
2007-01-31,25.1118064516129
2007-02-28,31.622964285714286
2007-03-31,35.74390322580645
2007-04-30,38.11813333333334
2007-05-31,37.44619354838711
2007-06-30,24.992480000000004
2007-07-31,16.482548387096774
2007-08-31,18.07435483870968
2007-09-30,19.931633333333327
2007-10-31,20.17845161290322
2007-11-30,21.274533333333338
2007-12-31,20.80541935483871
2008-01-31,25.06796774193548
2008-02-29,28.857758620689655
2008-03-31,31.12735483870968
2008-04-30,22.781366666666663
2008-05-31,20.769809523809524
2008-06-30,
2008-07-31,11.018
2008-08-31,22.752733333333342
2008-09-30,16.714633333333335
2008-10-31,20.362870967741937
2008-11-30,16.729
2008-12-31,
2009-01-31,26.78333333333333
2009-02-28,31.97717857142857
2009-03-31,29.938677419354832
2009-04-30,38.673300000000005
2009-05-31,23.88696774193549
2009-06-30,21.695333333333338
2009-07-31,21.25706451612904
2009-08-31,15.65809677419355
2009-09-30,16.789033333333336
2009-10-31,18.420516129032258
2009-11-30,21.448999999999998
2009-12-31,23.55916129032258
2010-01-31,25.634612903225808
2010-02-28,31.99614285714286
2010-03-31,33.208677419354835
2010-04-30,40.0059
2010-05-31,26.46706451612903
2010-06-30,18.5545
2010-07-31,20.240387096774192
2010-08-31,19.184161290322578
2010-09-30,23.407133333333334
2010-10-31,24.559129032258063
2010-11-30,25.695035714285712
2010-12-31,25.017612903225807
2011-01-31,25.758482758620683
2011-02-28,32.56585714285714
2011-03-31,35.899645161290316
2011-04-30,38.788300000000014
2011-05-31,31.876354838709673
2011-06-30,23.676966666666665
2011-07-31,19.175709677419356
2011-08-31,28.84409677419355
2011-09-30,22.118933333333334
2011-10-31,30.536
2011-11-30,24.42337037037037
2011-12-31,20.380451612903226
2012-01-31,23.18645161290322
2012-02-29,28.499827586206898
2012-03-31,32.37903225806452
2012-04-30,35.413500000000006
2012-05-31,26.8115
2012-06-30,28.347461538461534
2012-07-31,18.896225806451618
2012-08-31,17.7476
2012-09-30,19.056166666666673
2012-10-31,23.80793548387097
2012-11-30,25.081266666666668
2012-12-31,21.335967741935487
2013-01-31,23.554258064516134
2013-02-28,32.93746428571428
2013-03-31,39.10267741935485
2013-04-30,37.392033333333316
2013-05-31,29.594304347826093
2013-06-30,19.267766666666667
2013-07-31,14.832870967741936
2013-08-31,14.906290322580643
2013-09-30,17.61343333333333
2013-10-31,17.635677419354842
2013-11-30,23.29613333333333
2013-12-31,21.62941935483871
2014-01-31,27.780193548387093
2014-02-28,27.774821428571425
2014-03-31,34.20164516129033
2014-04-30,38.1042
2014-05-31,30.01577419354839
2014-06-30,18.599966666666663
2014-07-31,17.835580645161286
2014-08-31,17.235451612903223
2014-09-30,14.201499999999998
2014-10-31,19.86016129032258
2014-11-30,24.966599999999996
2014-12-31,19.458645161290324
2015-01-31,24.459838709677424
2015-02-28,30.25614285714286
2015-03-31,30.258580645161295
2015-04-30,32.92383333333333
2015-05-31,31.33541935483871
2015-06-30,18.313233333333336
2015-07-31,15.263580645161289
2015-08-31,17.78022580645161
2015-09-30,15.07108695652174
2015-10-31,16.87938709677419
2015-11-30,20.740133333333336
2015-12-31,21.257580645161283
2016-01-31,25.253709677419355
2016-02-29,29.664137931034475
2016-03-31,33.49016129032258
2016-04-30,37.934333333333335
2016-05-31,33.25938709677419
2016-06-30,26.052299999999995
2016-07-31,15.912580645161292
2016-08-31,14.326999999999998
2016-09-30,17.229633333333332
2016-10-31,24.45416666666667
2016-11-30,25.42089655172414
2016-12-31,23.601241379310338
2017-01-31,24.111159999999998
2017-02-28,29.845107142857135
2017-03-31,36.26703225806452
2017-04-30,31.79723333333333
2017-05-31,29.967100000000002
2017-06-30,19.925733333333334
2017-07-31,16.851290322580645
2017-08-31,17.924516129032252
2017-09-30,16.977642857142857
2017-10-31,19.580129032258064
2017-11-30,19.1693
2017-12-31,21.73122580645161
2018-01-31,25.2636
2018-02-28,24.979785714285708
2018-03-31,38.512935483870976
2018-04-30,38.8528
2018-05-31,25.12877419354839
2018-06-30,21.049300000000002
2018-07-31,18.343129032258066
2018-08-31,14.514967741935484
2018-09-30,11.7188
2018-10-31,17.42893103448276
2018-11-30,20.5746
2018-12-31,19.721451612903223
2019-01-31,25.01238709677419
2019-02-28,26.063142857142857
2019-03-31,34.97316129032257
2019-04-30,35.428866666666664
2019-05-31,26.29812903225806
2019-06-30,24.891766666666665
2019-07-31,15.550419354838713
2019-08-31,16.865354838709674
2019-09-30,20.862266666666667
2019-10-31,18.655193548387093
2019-11-30,21.364433333333338
2019-12-31,23.35051612903226
2020-01-31,23.364806451612907
2020-02-29,26.657172413793106
2020-03-31,25.580806451612897
2020-04-30,33.98499999999999
2020-05-31,26.92535483870968
2020-06-30,16.466866666666665
