,Daily mean ozone
2007-01-31,32.41920689655172
2007-02-28,37.8925
2007-03-31,48.18766666666667
2007-04-30,47.843
2007-05-31,46.43961290322582
2007-06-30,35.3702
2007-07-31,30.128548387096778
2007-08-31,30.089645161290324
2007-09-30,31.32529166666666
2007-10-31,31.285233333333334
2007-11-30,39.04593333333334
2007-12-31,32.454967741935484
2008-01-31,35.2448064516129
2008-02-29,36.410172413793106
2008-03-31,45.61904166666667
2008-04-30,44.941866666666655
2008-05-31,39.406677419354835
2008-06-30,26.508799999999994
2008-07-31,26.484800000000003
2008-08-31,23.597322580645162
2008-09-30,26.596666666666668
2008-10-31,36.4721935483871
2008-11-30,34.436666666666675
2008-12-31,33.30312903225806
2009-01-31,33.95651612903226
2009-02-28,40.208214285714284
2009-03-31,44.39596
2009-04-30,44.629099999999994
2009-05-31,32.940935483870966
2009-06-30,29.11825
2009-07-31,15.071833333333334
2009-08-31,19.62122580645162
2009-09-30,27.428733333333334
2009-10-31,30.337193548387095
2009-11-30,35.14243333333333
2009-12-31,31.723935483870974
2010-01-31,34.61025806451613
2010-02-28,38.71467857142857
2010-03-31,45.95054838709678
2010-04-30,49.09260000000001
2010-05-31,32.72964516129032
2010-06-30,28.477733333333333
2010-07-31,25.11851851851852
2010-08-31,26.648387096774194
2010-09-30,31.52546666666666
2010-10-31,43.250258064516125
2010-11-30,38.07447826086957
2010-12-31,33.577724137931035
2011-01-31,35.80773333333333
2011-02-28,34.79503571428571
2011-03-31,42.913225806451614
2011-04-30,38.2711
2011-05-31,41.82422580645161
2011-06-30,30.92226666666667
2011-07-31,23.09258064516129
2011-08-31,26.906645161290317
2011-09-30,27.32249999999999
2011-10-31,39.83965517241379
2011-11-30,37.07996666666667
2011-12-31,34.97454838709678
2012-01-31,34.88216129032257
2012-02-29,35.204793103448274
2012-03-31,40.0051935483871
2012-04-30,46.12346666666666
2012-05-31,36.32793548387097
2012-06-30,32.640466666666676
2012-07-31,25.147709677419357
2012-08-31,24.41741935483871
2012-09-30,30.85786666666666
2012-10-31,35.25770000000001
2012-11-30,39.80756666666665
2012-12-31,33.75512903225807
2013-01-31,35.46480645161291
2013-02-28,37.62117857142857
2013-03-31,46.711451612903225
2013-04-30,40.35721428571429
2013-05-31,40.5133870967742
2013-06-30,24.365
2013-07-31,25.020931034482757
2013-08-31,23.543136363636368
2013-09-30,29.10926666666666
2013-10-31,33.63216129032258
2013-11-30,37.20376666666666
2013-12-31,34.51811111111111
2014-01-31,33.5704827586207
2014-02-28,33.029142857142865
2014-03-31,41.34658064516128
2014-04-30,40.94016666666667
2014-05-31,44.12551612903227
2014-06-30,32.90323333333334
2014-07-31,27.899806451612903
2014-08-31,27.436870967741932
2014-09-30,26.347399999999997
2014-10-31,38.67883870967742
2014-11-30,35.69949999999999
2014-12-31,31.86038709677419
2015-01-31,33.995741935483885
2015-02-28,39.532999999999994
2015-03-31,33.567840000000004
2015-04-30,35.814793103448274
2015-05-31,38.606741935483875
2015-06-30,25.539266666666663
2015-07-31,24.648354838709672
2015-08-31,26.550548387096782
2015-09-30,26.48436666666667
2015-10-31,35.307516129032265
2015-11-30,34.3241
2015-12-31,33.07887096774194
2016-01-31,35.367290322580644
2016-02-29,40.196586206896555
2016-03-31,38.42045161290322
2016-04-30,46.28490000000001
2016-05-31,42.063599999999994
2016-06-30,30.559785714285706
2016-07-31,24.988741935483866
2016-08-31,23.820580645161286
2016-09-30,27.798866666666665
2016-10-31,37.00910526315789
2016-11-30,41.27743333333333
2016-12-31,31.080032258064513
2017-01-31,34.80067741935484
2017-02-28,38.79721428571429
2017-03-31,44.223387096774196
2017-04-30,42.3705
2017-05-31,39.785806451612906
2017-06-30,25.902095238095235
2017-07-31,23.011039999999998
2017-08-31,23.909448275862065
2017-09-30,24.9619
2017-10-31,29.942451612903223
2017-11-30,36.43506666666667
2017-12-31,34.55364516129033
2018-01-31,37.93606451612903
2018-02-28,33.68878571428572
2018-03-31,45.653612903225806
2018-04-30,43.36430000000001
2018-05-31,36.23467741935484
2018-06-30,30.37486666666667
2018-07-31,32.10006451612903
2018-08-31,21.43263333333333
2018-09-30,26.055724137931033
2018-10-31,31.2705806451613
2018-11-30,31.801000000000002
2018-12-31,33.233935483870965
2019-01-31,36.165451612903226
2019-02-28,32.12803571428571
2019-03-31,42.82206451612903
2019-04-30,42.166666666666664
2019-05-31,36.41609677419354
2019-06-30,26.71914285714286
2019-07-31,27.174866666666667
2019-08-31,23.47276666666666
2019-09-30,33.43928
2019-10-31,30.028677419354832
2019-11-30,35.38833333333333
2019-12-31,35.60948148148149
2020-01-31,37.644451612903225
2020-02-29,35.702448275862075
2020-03-31,37.356387096774185
2020-04-30,42.09856666666667
2020-05-31,40.599
2020-06-30,29.843566666666664
