Sample No,Start (Local time),Stop (Local time),Nitrate [µg/m³],Ammonium [µg/m³]
1151,30/04/2014 18:28,03/05/2014 18:28,1.0084,0.0878
1152,03/05/2014 18:28,06/05/2014 18:28,0.7609,0.0958
1153,06/05/2014 18:28,09/05/2014 18:28,1.1532,0.149
1154,09/05/2014 18:28,12/05/2014 18:28,0.8901,
1155,12/05/2014 18:28,15/05/2014 18:28,0.8846,0.0493
1156,15/05/2014 18:28,18/05/2014 18:28,0.8253,0.0517
1157,18/05/2014 18:28,21/05/2014 18:28,1.389,0.0743
1158,21/05/2014 18:28,24/05/2014 18:28,0.7119,
1159,24/05/2014 18:28,27/05/2014 18:28,0.6241,0.0478
1160,27/05/2014 18:28,30/05/2014 18:28,0.6734,
1161,30/05/2014 18:28,02/06/2014 18:28,0.7626,
1162,02/06/2014 18:28,05/06/2014 18:28,1.8124,0.0726
1163,05/06/2014 18:28,08/06/2014 18:28,0.5579,0.0531
1164,08/06/2014 18:28,11/06/2014 18:28,0.8794,0.0563
1165,11/06/2014 18:28,14/06/2014 18:28,0.6761,
1166,14/06/2014 18:28,17/06/2014 18:28,0.7787,0.0365
1167,17/06/2014 18:28,20/06/2014 18:28,0.7589,
1168,20/06/2014 18:28,23/06/2014 18:28,0.5324,
1169,23/06/2014 18:28,26/06/2014 18:28,0.7789,0.0509
1170,26/06/2014 18:28,29/06/2014 18:28,0.8343,
1171,29/06/2014 18:28,02/07/2014 18:28,1.1179,
1172,02/07/2014 18:28,05/07/2014 18:28,0.8843,
1173,05/07/2014 18:28,08/07/2014 18:28,1.6035,
1174,08/07/2014 18:28,11/07/2014 18:28,0.5658,0.0123
1175,11/07/2014 18:28,14/07/2014 18:28,0.7917,
1176,14/07/2014 18:28,17/07/2014 18:28,0.9657,0.0032
1177,17/07/2014 18:28,20/07/2014 18:28,1.0016,0.0733
1178,20/07/2014 18:28,23/07/2014 18:28,0.8017,0.1092
1179,23/07/2014 18:28,26/07/2014 18:28,0.6684,
1180,26/07/2014 18:28,29/07/2014 18:28,0.7724,0.1039
1181,29/07/2014 18:28,01/08/2014 18:28,0.9763,0.1272
1182,01/08/2014 18:28,04/08/2014 18:28,0.846,0.0968
1183,04/08/2014 18:28,07/08/2014 18:28,0.7244,0.1097
1184,07/08/2014 18:28,10/08/2014 18:28,1.0842,
1185,10/08/2014 18:28,13/08/2014 18:28,1.4441,0.0948
1186,13/08/2014 18:28,16/08/2014 18:28,0.8574,
1187,16/08/2014 18:28,19/08/2014 18:28,1.1541,0.095
1188,19/08/2014 18:28,22/08/2014 18:28,1.033,0.0957
1189,22/08/2014 18:28,25/08/2014 18:28,1.4976,0.1487
1190,25/08/2014 18:28,28/08/2014 18:28,0.8365,0.1059
1191,28/08/2014 18:28,31/08/2014 18:28,1.4097,0.0924
1192,31/08/2014 18:28,03/09/2014 18:28,1.105,
1193,03/09/2014 18:28,06/09/2014 18:28,0.8195,0.0987
1194,06/09/2014 18:28,09/09/2014 18:28,0.7916,0.1285
1195,09/09/2014 18:28,12/09/2014 18:28,0.5193,
1196,12/09/2014 18:28,15/09/2014 18:28,0.5471,
1197,19/09/2014 14:55,22/09/2014 14:55,0.554,0.0762
1198,22/09/2014 14:55,25/09/2014 14:55,0.5802,
1199,25/09/2014 14:55,28/09/2014 14:55,1.0698,
1200,28/09/2014 14:55,01/10/2014 14:55,0.7878,
1201,01/10/2014 14:55,04/10/2014 14:55,0.7962,0.0227
1202,04/10/2014 14:55,07/10/2014 14:55,1.9016,0.0385
1203,07/10/2014 17:19,10/10/2014 17:19,0.7556,0
1204,10/10/2014 17:20,13/10/2014 17:19,0.5666,0
1205,14/10/2014 12:58,17/10/2014 12:57,0.6188,0
1206,17/10/2014 12:58,20/10/2014 12:57,0.3896,0.0001
1207,20/10/2014 12:58,23/10/2014 12:57,0.503,0.0099
1208,23/10/2014 12:58,26/10/2014 12:57,1.5981,0
1209,30/10/2014 14:25,02/11/2014 14:25,0.3152,
1210,02/11/2014 14:25,05/11/2014 14:25,0.9879,
1211,06/11/2014 17:51,09/11/2014 17:51,0.7803,0
1212,09/11/2014 17:51,12/11/2014 17:51,0.705,
1213,12/11/2014 17:51,15/11/2014 17:51,0.849,
1214,15/11/2014 17:51,18/11/2014 17:51,0.8259,
1215,01/12/2014 10:34,04/12/2014 10:34,0.3776,0.0065
1216,04/12/2014 10:34,07/12/2014 10:34,0.5725,
1217,07/12/2014 10:34,10/12/2014 10:34,1.5018,0.1139
1218,10/12/2014 15:46,11/12/2014 15:46,2.3748,0.0549
1219,11/12/2014 15:46,12/12/2014 15:46,2.1213,
1220,12/12/2014 16:35,13/12/2014 16:35,1.7212,0.0569
1221,13/12/2014 16:35,14/12/2014 16:35,1.9831,0.0663
1222,14/12/2014 16:35,15/12/2014 16:35,1.4601,0.0808
1223,15/12/2014 16:35,18/12/2014 16:35,0.6657,0.0149
1224,18/12/2014 16:35,21/12/2014 16:35,0.8477,0.0121
1225,21/12/2014 16:35,24/12/2014 16:35,1.1394,0.0001
1226,24/12/2014 16:35,27/12/2014 16:35,1.3982,0.0166
1227,27/12/2014 16:35,30/12/2014 16:35,0.9767,0.0001
1228,30/12/2014 16:35,02/01/2015 16:35,0.9974,0.0828
1229,02/01/2015 16:35,05/01/2015 16:35,1.773548603,0.015780056
1230,05/01/2015 16:35,08/01/2015 16:35,1.239883852,0.01692108
1231,08/01/2015 16:35,11/01/2015 16:35,0.839812773,0.06705818
1232,11/01/2015 16:35,14/01/2015 16:35,1.028584701,0.023603221
1233,15/01/2015 18:25,16/01/2015 18:24,1.394540933,0.134752661
1234,16/01/2015 18:25,17/01/2015 18:24,1.895217101,0.217554265
1235,17/01/2015 18:25,18/01/2015 18:24,0.897538769,0.142473886
1236,18/01/2015 18:25,19/01/2015 18:24,0.688181276,0.043671066
1237,19/01/2015 10:18,21/01/2015 10:19,0.594982086,0.040626777
1238,21/01/2015 10:29,22/01/2015 10:28,0.816514418,0
1239,22/01/2015 10:28,23/01/2015 10:28,0.845130728,0
1240,23/01/2015 10:28,24/01/2015 10:28,0.849569891,0
1241,24/01/2015 10:28,25/01/2015 10:28,0.922952552,0
1242,25/01/2015 10:28,26/01/2015 10:28,1.202767316,0.034641487
1243,26/01/2015 10:28,27/01/2015 10:28,1.237177379,0
1244,27/01/2015 10:28,28/01/2015 10:28,1.600217163,0.048147217
1245,28/01/2015 10:28,29/01/2015 10:28,1.66044459,0.033182793
1246,29/01/2015 10:28,30/01/2015 10:28,1.268536102,0.047087573
1247,30/01/2015 10:28,31/01/2015 10:28,1.205812325,0.075347728
1248,31/01/2015 10:28,01/02/2015 10:28,0.884379324,0.047439999
1249,01/02/2015 10:28,02/02/2015 10:28,0.761395236,0.021687078
1250,02/02/2015 10:28,05/02/2015 02:20,0.402823057,0.05893605
1251,05/02/2015 02:20,08/02/2015 02:20,0.822084675,0.151182924
1252,08/02/2015 02:20,12/02/2015 10:03,0.288801283,0.046979482
1253,12/02/2015 10:03,15/02/2015 10:03,0.707137862,0.022407379
1254,15/02/2015 10:03,18/02/2015 10:03,1.390542395,0.027172258
1255,18/02/2015 10:03,21/02/2015 10:03,0.753955021,0.009990529
1256,21/02/2015 10:03,24/02/2015 10:03,1.059911727,0.016185228
1257,24/02/2015 10:03,27/02/2015 10:03,1.238758734,0.024448166
1258,27/02/2015 10:43,03/03/2015 11:04,3.996195152,0.221464214
1259,04/03/2015 12:26,05/03/2015 12:26,1.93146935,0.047483319
1260,05/03/2015 12:28,06/03/2015 12:28,1.512409721,0.044855589
1261,06/03/2015 12:28,08/03/2015 13:16,1.096495022,0.029583929
1262,08/03/2015 13:16,09/03/2015 10:35,0.568532866,0.121144441
1263,09/03/2015 10:38,12/03/2015 10:53,2.191079818,0.051857901
1264,12/03/2015 10:54,13/03/2015 10:53,2.684857067,0.132558354
1265,13/03/2015 10:45,17/03/2015 10:50,1.41566924,0.055556372
1266,17/03/2015 10:59,24/03/2015 13:14,0.434275651,0.014544635
1267,24/03/2015 13:14,29/03/2015 22:15,0.48993068,0.016159119
1268,29/03/2015 22:16,02/04/2015 18:51,2.247021847,0.040173504
1269,02/04/2015 18:52,09/04/2015 14:50,1.204426949,0.011759823
1270,09/04/2015 15:07,11/04/2015 20:55,1.829338858,0.053515762
1271,11/04/2015 20:55,12/04/2015 22:37,2.956156567,0.120381138
1272,12/04/2015 22:37,16/04/2015 07:13,0.45378135,0.017129946
1273,16/04/2015 07:13,17/04/2015 13:13,0.689310159,0.038547482
1274,17/04/2015 13:18,22/04/2015 16:17,1.248690722,0.101429444
1275,22/04/2015 16:17,25/04/2015 16:16,0.89083747,0.024842497
1276,25/04/2015 16:17,28/04/2015 16:16,0.555814743,0.022854702
1277,28/04/2015 16:17,01/05/2015 16:16,1.026203782,0.038117235
1278,01/05/2015 16:17,04/05/2015 16:16,1.52419798,0.056358114
1279,04/05/2015 16:17,07/05/2015 16:16,0.700935923,0.038921614
1280,07/05/2015 16:17,10/05/2015 16:16,0.900230381,0.050282625
1281,10/05/2015 16:17,13/05/2015 16:16,0.757943733,0.032301606
1282,13/05/2015 16:17,16/05/2015 16:16,1.941376878,0.023523893
1283,16/05/2015 16:17,19/05/2015 16:16,2.460752807,0.085930132
1284,19/05/2015 16:17,22/05/2015 16:16,3.061792475,0.13532539
1285,29/05/2015 16:28,01/06/2015 20:02,1.252358715,0.096399645
1286,01/06/2015 23:37,05/06/2015 07:39,0.907793693,0.053232864
1287,05/06/2015 07:39,08/06/2015 07:38,0.877839032,0.008118193
1288,08/06/2015 07:39,11/06/2015 07:38,1.33482105,0.011064193
1289,11/06/2015 07:38,14/06/2015 07:38,0.675024895,0.037901225
1290,17/06/2015 09:19,19/06/2015 23:21,0.926058442,0.043903397
1291,19/06/2015 23:21,22/06/2015 23:21,1.397608845,0.108489005
1292,22/06/2015 23:21,25/06/2015 23:21,0.890797528,0.046888709
1293,25/06/2015 23:21,28/06/2015 23:21,0.638332641,0.02090081
1294,28/06/2015 23:21,01/07/2015 23:21,1.258003008,0.062243676
1295,01/07/2015 23:21,04/07/2015 23:21,1.022617666,0.032805218
1296,04/07/2015 23:22,07/07/2015 23:22,0.897969578,0.041204235
1297,07/07/2015 23:22,10/07/2015 23:22,2.033315934,0.018014701
1298,10/07/2015 23:22,13/07/2015 23:22,2.086561281,0.02138971
1299,13/07/2015 23:22,16/07/2015 23:22,1.302893651,0.095938625
1300,16/07/2015 23:22,19/07/2015 23:22,2.137171828,0.110604671
1301,19/07/2015 23:22,22/07/2015 23:22,0.459876503,0.017834774
1302,22/07/2015 23:22,24/07/2015 12:00,1.7862672,0.077699009
1303,24/07/2015 12:02,27/07/2015 12:02,1.428343229,0.015674852
1304,27/07/2015 14:32,30/07/2015 14:32,1.036066066,0.047215131
1305,30/07/2015 14:32,02/08/2015 14:32,0.814093316,0.023789944
1306,02/08/2015 14:32,05/08/2015 09:30,0.728528151,0.026606105
1307,05/08/2015 09:30,08/08/2015 09:30,0.786140277,0.024956182
1308,08/08/2015 09:30,11/08/2015 09:30,1.269120392,0.022167952
1309,11/08/2015 09:30,14/08/2015 09:30,1.614752498,0.038508152
1310,14/08/2015 09:30,17/08/2015 09:30,1.646231953,0.023426434
1311,17/08/2015 09:30,20/08/2015 09:30,0.741339767,0.014843305
1312,20/08/2015 09:30,23/08/2015 09:30,2.005296513,0.028218877
1313,23/08/2015 09:30,26/08/2015 09:30,1.734328998,0.014334674
1314,26/08/2015 13:01,29/08/2015 13:03,0.820123151,0.025408929
1315,29/08/2015 13:03,01/09/2015 13:03,0.840269665,0.044837511
1316,03/09/2015 12:59,06/09/2015 12:59,1.15775322,0.037641542
1317,06/09/2015 12:59,09/09/2015 12:59,1.077127505,0.007825663
1318,10/09/2015 12:00,13/09/2015 12:00,1.215097697,0.112010257
1319,13/09/2015 12:00,16/09/2015 12:00,0.731213204,0.02390879
1320,16/09/2015 12:01,19/09/2015 12:00,0.835713674,0.017198376
1321,19/09/2015 12:00,22/09/2015 12:00,0.423736454,0.007097418
1322,22/09/2015 12:01,25/09/2015 12:00,0.871600766,0.038897688
1323,25/09/2015 12:01,28/09/2015 12:00,1.460412625,0.057767017
1324,28/09/2015 12:01,01/10/2015 12:00,0.710910531,0.023380764
1325,01/10/2015 12:03,04/10/2015 12:01,2.594264882,0.052681184
1326,04/10/2015 12:01,07/10/2015 12:01,2.078684057,0.046981546
1327,07/10/2015 12:01,10/10/2015 12:01,2.116939002,0.041347147
1328,10/10/2015 12:01,13/10/2015 12:01,0.55094301,0.015376724
1329,13/10/2015 12:17,16/10/2015 12:17,0.187770853,0.008007724
1330,16/10/2015 12:17,19/10/2015 12:17,0.250653918,0.009710663
1331,19/10/2015 12:17,22/10/2015 12:17,0.315839438,0.012744756
1332,22/10/2015 12:41,25/10/2015 12:40,0.292178505,0.011685703
1333,25/10/2015 12:44,28/10/2015 14:27,0.254913894,0.012151409
1334,28/10/2015 14:27,01/11/2015 22:35,0.660090308,0.024075304
1335,01/11/2015 22:36,07/11/2015 14:17,0.800697721,0.017019177
1336,07/11/2015 14:17,10/11/2015 14:17,1.642206872,0.020753536
1337,10/11/2015 14:22,13/11/2015 14:24,1.000910964,0.02855724
1338,14/11/2015 11:06,16/11/2015 11:11,1.849136206,0.083868957
1339,16/11/2015 11:15,19/11/2015 11:15,1.325339176,0.038160621
1340,19/11/2015 11:40,20/11/2015 17:12,1.489981995,0.062668416
1341,20/11/2015 17:20,22/11/2015 09:11,1.322528956,0.07665905
1342,22/11/2015 09:11,23/11/2015 11:30,1.280355861,0.125614408
1343,23/11/2015 11:35,27/11/2015 15:35,0.928247935,0.0105624
1344,27/11/2015 15:37,01/12/2015 17:54,1.167640292,0.005502945
1345,02/12/2015 11:14,03/12/2015 13:51,1.951865184,0.017088898
1346,03/12/2015 14:00,04/12/2015 14:00,2.365911145,0.054908729
1347,04/12/2015 14:05,07/12/2015 14:31,2.161526758,0.041542949
1348,07/12/2015 14:31,08/12/2015 14:31,1.959449026,0.074432394
1349,08/12/2015 14:33,09/12/2015 14:32,1.833765632,0.083642191
1350,09/12/2015 14:33,10/12/2015 14:32,1.41026345,0.063349327
1351,10/12/2015 14:35,14/12/2015 14:37,1.203041827,0.030730018
1352,14/12/2015 14:37,18/12/2015 16:35,1.469627942,0.026166632
1353,18/12/2015 16:35,20/12/2015 05:50,1.685228456,0.052851178
1354,20/12/2015 05:50,23/12/2015 05:23,0.962720916,0.045109283
1355,23/12/2015 18:15,28/12/2015 16:18,1.476422018,0.079594695
1356,28/12/2015 16:18,31/12/2015 16:17,1.227718977,0.017390667
1357,31/12/2015 16:20,04/01/2016 16:17,1.303391178,0.016320761
1358,04/01/2016 16:17,07/01/2016 18:41,1.111194176,0.038528443
1359,07/01/2016 18:42,10/01/2016 18:41,1.49076629,0.06172397
1360,10/01/2016 18:42,00/01/1900 00:00,,
1361,15/01/2016 18:53,16/01/2016 18:41,2.893596009,0.040096736
1362,19/01/2016 18:09,22/01/2016 04:39,1.181774305,0.01620878
1363,22/01/2016 04:40,26/01/2016 15:21,0.50258331,0.006205331
1364,,,,
1365,26/01/2016 15:21,27/01/2016 15:24,2.052319428,0.149628911
1366,27/01/2016 15:25,28/01/2016 15:47,1.666750721,0.074671185
1367,28/01/2016 16:11,29/01/2016 16:11,1.582698223,0.0890183
1368,29/01/2016 16:45,30/01/2016 16:44,1.822313768,0.074976432
1369,30/01/2016 16:45,31/01/2016 16:44,1.920407968,0.073082763
1370,31/01/2016 16:45,01/02/2016 16:45,1.979116598,0.093289564
1371,01/02/2016 16:45,02/02/2016 16:45,1.696782118,0.091671436
1372,02/02/2016 16:45,03/02/2016 16:45,1.965380004,0.124423919
1373,03/02/2016 16:45,04/02/2016 16:45,1.7555196,0.078901835
1374,04/02/2016 16:45,05/02/2016 16:45,1.849853894,0.045724226
1375,05/02/2016 16:45,06/02/2016 16:45,1.661533383,0.032852776
1376,06/02/2016 16:45,07/02/2016 16:45,1.731633574,0.270030057
1377,07/02/2016 16:45,08/02/2016 16:44,1.850533886,0.050585197
1378,08/02/2016 16:45,09/02/2016 10:00,1.6047897,0.056850554
1379,09/02/2016 10:00,09/02/2016 16:44,2.800925846,0.124702319
1380,09/02/2016 16:49,10/02/2016 16:49,1.53947791,0.044597878
1381,10/02/2016 16:49,11/02/2016 15:30,1.212174239,0.028764288
1382,11/02/2016 15:30,13/02/2016 10:34,1.1676909,0
1383,13/02/2016 10:34,14/02/2016 10:34,0.654250411,0.042034533
1384,14/02/2016 10:34,15/02/2016 10:34,1.063247453,0.080854379
1385,15/02/2016 10:34,16/02/2016 10:34,1.021895681,0.023634629
1386,16/02/2016 10:34,17/02/2016 10:22,0.747817743,0.026038897
1388,17/02/2016 10:22,18/02/2016 10:11,1.031622436,0.055110907
1389,18/02/2016 10:12,19/02/2016 12:31,0.688873467,0.042944806
1390,19/02/2016 13:49,22/02/2016 11:33,0.350469831,0.079178552
1391,22/02/2016 11:33,23/02/2016 11:59,0.998751165,0.083649511
1392,23/02/2016 12:13,26/02/2016 11:58,1.991675977,0.041873657
1393,26/02/2016 17:07,29/02/2016 12:02,0.850188181,0.002977472
1394,02/03/2016 16:26,05/03/2016 16:26,1.575303352,0.005519566
1395,08/03/2016 12:59,11/03/2016 12:58,0.65632518,0.010923782
1396,11/03/2016 12:59,14/03/2016 12:58,0.893480219,0
1397,14/03/2016 12:59,16/03/2016 11:00,0.879677847,0
1398,16/03/2016 11:00,19/03/2016 11:00,1.107499833,0.003346497
1399,19/03/2016 11:00,22/03/2016 11:00,0.666170674,0
1400,22/03/2016 11:00,25/03/2016 11:00,0.65331576,0.013536154
1401,25/03/2016 11:00,28/03/2016 11:00,1.638436227,0.005573651
1402,28/03/2016 11:00,31/03/2016 11:00,0.919864332,0.004074258
1403,31/03/2016 11:00,03/04/2016 11:00,0.335139439,0.006423673
1404,03/04/2016 11:00,06/04/2016 11:00,0.633652696,0.016777165
1405,06/04/2016 11:00,09/04/2016 11:00,0.399403774,0.005921899
1406,09/04/2016 11:00,12/04/2016 11:00,0.914621853,0.010401915
1407,12/04/2016 12:30,15/04/2016 12:30,0.44212045,0.003002682
1408,15/04/2016 12:30,18/04/2016 12:30,0.667016446,0.01301017
1409,22/04/2016 12:00,25/04/2016 11:59,0.34354888,0.005564941
1410,25/04/2016 12:00,28/04/2016 11:59,0.332285781,0.00338495
1411,28/04/2016 12:00,01/05/2016 11:59,0.41722102,0.008141749
1412,01/05/2016 12:00,04/05/2016 11:59,0.840731056,0.009191602
1413,05/05/2016 12:30,08/05/2016 12:29,0.556842651,0.01486601
1414,08/05/2016 12:30,11/05/2016 12:30,0.330291544,0.009089508
1415,12/05/2016 13:00,15/05/2016 12:59,0.404460568,0.012292868
1416,15/05/2016 13:00,18/05/2016 12:59,0.71243888,0.046354063
1417,18/05/2016 13:00,21/05/2016 02:59,0.94491454,0.024101069
1418,21/05/2016 03:00,24/05/2016 02:59,0.746359588,0.023442595
1419,24/05/2016 03:00,27/05/2016 02:59,0.714928789,0
1420,27/05/2016 03:00,30/05/2016 02:59,0.489904789,0.040383599
1421,31/05/2016 13:32,03/06/2016 13:32,0.883429708,0.053484135
1422,03/06/2016 13:32,06/06/2016 13:32,0.685857046,0.01569494
1423,06/06/2016 13:32,09/06/2016 13:32,0.749613713,0.008893896
1424,09/06/2016 13:32,12/06/2016 13:32,0.850798944,0.01526189
1425,12/06/2016 13:32,15/06/2016 12:40,0.639815796,0.025047877
1426,15/06/2016 12:40,18/06/2016 12:40,0.557638347,0.017519991
1427,18/06/2016 12:40,21/06/2016 12:40,0.854808849,0.049459688
1428,21/06/2016 12:40,24/06/2016 12:40,0.623960191,0.015891906
1429,24/06/2016 12:40,27/06/2016 12:40,1.776390457,0.012363225
1430,27/06/2016 12:40,30/06/2016 12:40,0.819316606,0.008449316
1431,30/06/2016 12:40,03/07/2016 12:40,1.132976022,0.052671595
1432,03/07/2016 12:40,06/07/2016 12:40,0.765859916,0.027686622
1433,06/07/2016 12:40,09/07/2016 12:40,0.578979759,0.015279574
1434,09/07/2016 12:40,12/07/2016 12:40,1.135891178,0.050521262
1435,12/07/2016 12:40,15/07/2016 12:40,0.9811223,0.029811448
1436,15/07/2016 17:25,18/07/2016 17:25,1.317392494,0.063964575
1437,18/07/2016 17:25,21/07/2016 17:25,0.853106029,0.040646994
1438,21/07/2016 17:25,24/07/2016 17:25,1.696588481,0.008153364
1439,24/07/2016 17:25,27/07/2016 17:25,1.268571836,0.05650361
1440,27/07/2016 17:25,30/07/2016 17:25,1.807466392,0.01106195
1441,30/07/2016 17:25,02/08/2016 17:25,1.047052563,0.01874601
1442,04/08/2016 14:30,05/08/2016 14:30,,
1443,04/08/2016 14:26,08/08/2016 15:28,1.254183485,0.025342264
1444,08/08/2016 15:28,11/08/2016 15:28,0.832088676,0.008834406
1445,11/08/2016 15:28,14/08/2016 15:28,1.479019042,0.070353062
1446,14/08/2016 15:28,17/08/2016 15:28,1.752376462,0.084614502
1447,17/08/2016 15:28,20/08/2016 15:28,1.751593503,0.039318277
1448,20/08/2016 15:28,23/08/2016 15:28,1.27964509,0.006742319
1449,23/08/2016 15:28,26/08/2016 15:28,1.056043617,0
1450,26/08/2016 15:28,29/08/2016 15:28,1.603672496,0.005887486
1451,29/08/2016 15:28,01/09/2016 15:28,2.182623593,0.00742959
1452,01/09/2016 15:28,04/09/2016 15:28,0.638144605,0.011355377
1453,04/09/2016 15:28,07/09/2016 15:28,1.069658534,0.039955576
1454,07/09/2016 15:28,10/09/2016 15:28,1.401563417,0.045300342
1455,10/09/2016 15:28,13/09/2016 15:28,0.719910715,0.016782607
1456,13/09/2016 15:28,16/09/2016 15:28,1.005519018,0.012104568
1457,28/09/2016 16:00,01/10/2016 16:00,1.843930387,0.05751042
1458,01/10/2016 16:00,04/10/2016 16:00,1.822638338,0.01642298
1459,04/10/2016 16:00,08/10/2016 16:18,1.130939997,0.023147537
1460,10/10/2016 19:56,13/10/2016 19:55,1.086589444,0.028908675
1461,13/10/2016 19:55,16/10/2016 19:55,0.466713274,0.010334471
1462,16/10/2016 19:57,19/10/2016 19:57,0.83462401,0
1463,19/10/2016 19:57,22/10/2016 11:59,0.987723232,0.006859109
1464,22/10/2016 11:59,25/10/2016 11:59,0.518083149,0.015679182
1465,25/10/2016 11:59,28/10/2016 11:59,0.176471401,0.00634528
1466,28/10/2016 11:59,31/10/2016 11:59,0.874433067,0.007970777
1467,31/10/2016 12:10,03/11/2016 12:10,2.345923789,0.006869424
1468,03/11/2016 12:10,06/11/2016 12:10,1.649588563,0
1469,06/11/2016 12:10,09/11/2016 12:10,0.481912531,0
1470,09/11/2016 12:10,12/11/2016 12:10,1.175488897,0
1471,12/11/2016 12:10,15/11/2016 12:10,1.405007037,0.006020904
1472,15/11/2016 12:10,18/11/2016 12:10,1.221985253,0
1473,18/11/2016 16:55,21/11/2016 16:54,1.448548831,0.028061397
1474,21/11/2016 16:55,24/11/2016 16:54,1.257293417,0.030310076
1475,24/11/2016 16:55,27/11/2016 16:54,0.686518274,0.014852903
1476,27/11/2016 16:55,29/11/2016 11:59,0.439371222,0
1477,29/11/2016 12:00,02/12/2016 11:59,0.461474094,0.005231947
1478,02/12/2016 12:00,05/12/2016 11:59,0.329336247,0.00495245
1479,05/12/2016 12:00,08/12/2016 11:59,0.499959269,0.006567332
1480,08/12/2016 12:00,11/12/2016 11:59,0.994217317,0.006841575
1481,11/12/2016 12:00,14/12/2016 11:59,1.215904368,0.047424976
1482,14/12/2016 12:00,17/12/2016 11:59,0.979157952,0.028905765
1483,17/12/2016 12:00,20/12/2016 11:59,0.554958182,0.008821421
1484,20/12/2016 12:01,23/12/2016 12:00,1.185396373,0.024376196
1485,23/12/2016 12:01,26/12/2016 12:00,1.851941275,0.015100613
1486,26/12/2016 12:01,27/12/2016 11:59,2.601998602,0.033641368
1487,27/12/2016 12:00,28/12/2016 11:59,3.055077985,0.049332952
1488,28/12/2016 12:00,29/12/2016 11:59,2.781520086,0.053926289
1489,29/12/2016 12:00,30/12/2016 11:59,2.481164,0.117651242
1490,30/12/2016 12:00,31/12/2016 11:59,2.222932659,0.029782501
1491,31/12/2016 12:00,01/01/2017 11:59,1.942008131,0.027753486
1492,01/01/2017 12:00,02/01/2017 11:59,1.541961657,0.017258769
1493,02/01/2017 12:00,03/01/2017 11:59,1.98434757,0.026959808
1494,03/01/2017 12:00,06/01/2017 11:59,1.464257637,0.020354392
1495,06/01/2017 12:00,09/01/2017 11:59,0.739609698,0.029695983
1496,09/01/2017 12:00,12/01/2017 11:59,1.207737407,0.02458667
1497,12/01/2017 12:00,15/01/2017 11:59,1.256958886,0.008552106
1498,15/01/2017 12:00,18/01/2017 11:59,1.274922511,0.036581377
1499,18/01/2017 12:00,21/01/2017 11:59,1.076788755,0.036450015
1500,21/01/2017 12:00,24/01/2017 11:59,0.752782134,0.008723976
1501,24/01/2017 12:00,27/01/2017 11:59,0.723519402,0.042549855
1502,27/01/2017 12:01,30/01/2017 12:01,0.938735192,0.011614279
1503,30/01/2017 13:57,02/02/2017 13:57,0.425102498,0.034472247
1504,02/02/2017 14:24,05/02/2017 14:23,0.984743981,0.004309196
1505,05/02/2017 14:24,08/02/2017 14:23,2.388778947,0.004350911
1506,08/02/2017 14:33,11/02/2017 14:32,1.500724018,0.059786124
1507,11/02/2017 15:03,14/02/2017 15:05,0.259375509,0.015778506
1508,14/02/2017 15:29,17/02/2017 12:29,0.639113233,0.004703552
1509,17/02/2017 12:30,20/02/2017 12:29,1.6026308,0
1510,20/02/2017 12:30,23/02/2017 12:29,0.736496179,0.00731937
1511,23/02/2017 12:30,26/02/2017 12:29,1.821847005,0.006079807
1512,26/02/2017 12:30,01/03/2017 12:29,1.206838376,0.00624436
1513,01/03/2017 12:31,04/03/2017 12:29,0.882120345,0.004543833
1514,04/03/2017 12:31,07/03/2017 12:29,1.428180794,0
1515,07/03/2017 12:31,10/03/2017 12:30,1.709455938,0
1516,10/03/2017 12:31,13/03/2017 12:30,1.211949727,0.004310191
1517,13/03/2017 12:31,16/03/2017 12:30,1.684884659,0
1518,16/03/2017 12:32,19/03/2017 12:31,0.898966354,0.007672361
1519,19/03/2017 12:33,22/03/2017 12:32,1.719976845,0.003683827
1520,22/03/2017 12:34,25/03/2017 12:33,1.035032955,0
1521,25/03/2017 12:34,28/03/2017 12:33,0.402637306,0
1522,30/03/2017 13:30,02/04/2017 13:30,1.728717655,0
1523,02/04/2017 13:30,05/04/2017 13:30,1.94591035,0.04713397
1524,05/04/2017 13:30,08/04/2017 13:30,1.536723578,0.069750403
1525,08/04/2017 13:30,11/04/2017 13:30,0.729420829,0.044129137
1526,11/04/2017 13:31,14/04/2017 13:31,1.512483708,0.05339532
1527,14/04/2017 13:31,17/04/2017 13:31,1.561457247,0.036207496
1528,17/04/2017 13:31,20/04/2017 13:31,0.969317106,0.021832735
1529,20/04/2017 13:31,23/04/2017 13:31,0.557619083,0.025619423
1530,23/04/2017 13:31,26/04/2017 13:31,0.701561821,0.020699373
1531,26/04/2017 13:31,29/04/2017 13:31,0.436634087,0.013954845
1532,29/04/2017 13:31,02/05/2017 13:31,0.398546178,0.005215608
1533,02/05/2017 13:31,05/05/2017 13:31,0.446948489,0.014444111
1534,05/05/2017 13:31,08/05/2017 13:31,0.288070184,0.004086356
1535,08/05/2017 13:31,11/05/2017 13:31,0.315745583,0.004811839
1536,11/05/2017 13:31,14/05/2017 13:31,0.393674898,0.021136253
1537,14/05/2017 13:31,17/05/2017 13:31,0.908949699,0.05216357
1538,17/05/2017 13:31,20/05/2017 13:31,1.266307295,0.066667441
1539,20/05/2017 13:31,23/05/2017 13:31,0.826561774,0.029162743
1540,23/05/2017 13:31,26/05/2017 13:31,0.684111642,0.035720419
